C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\center_2018_04_18_12_11_02_823.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\left_2018_04_18_12_11_02_823.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\right_2018_04_18_12_11_02_823.jpg,0,0,0,1.946413E-06
C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\center_2018_04_18_12_11_02_954.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\left_2018_04_18_12_11_02_954.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\right_2018_04_18_12_11_02_954.jpg,0,0,0,1.552011E-06
C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\center_2018_04_18_12_11_03_071.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\left_2018_04_18_12_11_03_071.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\right_2018_04_18_12_11_03_071.jpg,0,0,0,2.013947E-06
C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\center_2018_04_18_12_11_03_197.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\left_2018_04_18_12_11_03_197.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\right_2018_04_18_12_11_03_197.jpg,0,0,0,6.828517E-07
C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\center_2018_04_18_12_11_03_329.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\left_2018_04_18_12_11_03_329.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\right_2018_04_18_12_11_03_329.jpg,0,0,0,6.510015E-07
C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\center_2018_04_18_12_11_03_453.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\left_2018_04_18_12_11_03_453.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\right_2018_04_18_12_11_03_453.jpg,0,0,0,2.580891E-06
C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\center_2018_04_18_12_11_03_576.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\left_2018_04_18_12_11_03_576.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\right_2018_04_18_12_11_03_576.jpg,0,0,0,9.720918E-07
C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\center_2018_04_18_12_11_03_694.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\left_2018_04_18_12_11_03_694.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\right_2018_04_18_12_11_03_694.jpg,0,0,0,4.989907E-06
C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\center_2018_04_18_12_11_03_834.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\left_2018_04_18_12_11_03_834.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\right_2018_04_18_12_11_03_834.jpg,0,0,0,4.825209E-06
C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\center_2018_04_18_12_11_03_943.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\left_2018_04_18_12_11_03_943.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\right_2018_04_18_12_11_03_943.jpg,0,0,0,7.822875E-06
C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\center_2018_04_18_12_11_04_077.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\left_2018_04_18_12_11_04_077.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\right_2018_04_18_12_11_04_077.jpg,0,0.1891846,0,0.1505273
C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\center_2018_04_18_12_11_04_195.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\left_2018_04_18_12_11_04_195.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\right_2018_04_18_12_11_04_195.jpg,0,0.5548276,0,0.8595647
C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\center_2018_04_18_12_11_04_319.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\left_2018_04_18_12_11_04_319.jpg,C:\Users\andys\Desktop\CarND-Behavioral-video-record\IMG\right_2018_04_18_12_11_04_319.jpg,0,0.9276837,0,2.067342
